++average   	++position_x	++position_y	++radius    	++flow      	
$$0.13279	$$188.00000	$$157.00000	$$8.00000	$$-6.89000	
$$0.13145	$$188.00000	$$157.00000	$$8.00000	$$-6.77000	
$$0.13273	$$188.00000	$$157.00000	$$8.00000	$$-6.92000	
$$0.13312	$$188.00000	$$157.00000	$$8.00000	$$-6.69000	
$$0.13588	$$188.00000	$$157.00000	$$8.00000	$$-7.06000	
$$0.13825	$$188.00000	$$157.00000	$$8.00000	$$-6.95000	
$$0.14429	$$188.00000	$$157.00000	$$8.00000	$$-6.99000	
$$0.15154	$$188.00000	$$157.00000	$$8.00000	$$-6.83000	
$$0.15777	$$188.00000	$$157.00000	$$8.00000	$$-7.11000	
$$0.16330	$$188.00000	$$157.00000	$$8.00000	$$-5.48000	
$$0.16721	$$188.00000	$$157.00000	$$8.00000	$$-6.59000	
$$0.17158	$$188.00000	$$157.00000	$$8.00000	$$-7.21000	
$$0.17537	$$188.00000	$$157.00000	$$8.00000	$$-15.39000	
$$0.18031	$$188.00000	$$158.00000	$$8.00000	$$-15.70000	
$$0.18243	$$188.00000	$$158.00000	$$8.00000	$$-13.53000	
$$0.18686	$$188.00000	$$158.00000	$$8.00000	$$-11.73000	
$$0.18744	$$188.00000	$$158.00000	$$8.00000	$$-10.79000	
$$0.17151	$$190.00000	$$158.00000	$$8.00000	$$-12.26000	
$$0.19258	$$188.00000	$$158.00000	$$8.00000	$$-12.35000	
$$0.17582	$$190.00000	$$158.00000	$$8.00000	$$-11.56000	
$$0.17614	$$190.00000	$$158.00000	$$8.00000	$$-10.11000	
$$0.18250	$$190.00000	$$158.00000	$$8.00000	$$-10.44000	
$$0.19868	$$188.00000	$$158.00000	$$8.00000	$$-9.82000	
$$0.17614	$$190.00000	$$158.00000	$$8.00000	$$-10.11000	
$$0.19842	$$188.00000	$$158.00000	$$8.00000	$$-8.81000	
$$0.20221	$$188.00000	$$158.00000	$$8.00000	$$-8.85000	
$$0.20221	$$188.00000	$$158.00000	$$8.00000	$$-8.16000	
$$0.18269	$$190.00000	$$158.00000	$$8.00000	$$-8.21000	
$$0.18192	$$190.00000	$$158.00000	$$8.00000	$$-8.56000	
$$0.19759	$$188.00000	$$158.00000	$$8.00000	$$-8.47000	
$$0.19559	$$188.00000	$$158.00000	$$8.00000	$$-8.35000	
$$0.19579	$$188.00000	$$158.00000	$$8.00000	$$-6.47000	
$$0.19585	$$188.00000	$$158.00000	$$8.00000	$$-8.07000	
$$0.19309	$$188.00000	$$158.00000	$$8.00000	$$-7.71000	
$$0.19322	$$188.00000	$$158.00000	$$8.00000	$$-7.22000	
$$0.17100	$$190.00000	$$158.00000	$$8.00000	$$-7.01000	
$$0.19258	$$188.00000	$$158.00000	$$8.00000	$$-7.08000	
$$0.19161	$$188.00000	$$158.00000	$$8.00000	$$-6.89000	
$$0.19078	$$188.00000	$$158.00000	$$8.00000	$$-7.26000	
$$0.18673	$$188.00000	$$158.00000	$$8.00000	$$-7.06000	
$$0.18661	$$188.00000	$$158.00000	$$8.00000	$$-5.85000	
$$0.18564	$$188.00000	$$158.00000	$$8.00000	$$-4.84000	
$$0.18538	$$188.00000	$$158.00000	$$8.00000	$$-6.06000	
$$0.18461	$$188.00000	$$158.00000	$$8.00000	$$-5.72000	
$$0.18455	$$188.00000	$$158.00000	$$8.00000	$$-4.75000	
$$0.18506	$$188.00000	$$158.00000	$$8.00000	$$-4.11000	
$$0.18301	$$188.00000	$$158.00000	$$8.00000	$$-1.59000	
$$0.18237	$$188.00000	$$158.00000	$$8.00000	$$-1.72000	
$$0.18429	$$188.00000	$$158.00000	$$8.00000	$$3.50000	
$$0.15649	$$190.00000	$$158.00000	$$8.00000	$$6.10000	
$$0.15649	$$190.00000	$$158.00000	$$8.00000	$$5.48000	
$$0.15630	$$190.00000	$$158.00000	$$8.00000	$$5.00000	
$$0.17941	$$188.00000	$$158.00000	$$8.00000	$$3.86000	
$$0.17935	$$188.00000	$$158.00000	$$8.00000	$$2.66000	
$$0.17941	$$188.00000	$$158.00000	$$8.00000	$$0.00000	
$$0.17813	$$188.00000	$$158.00000	$$8.00000	$$0.00000	
$$0.17665	$$188.00000	$$158.00000	$$8.00000	$$0.00000	
$$0.15848	$$188.00000	$$158.00000	$$8.00000	$$-2.05000	
$$0.13883	$$188.00000	$$158.00000	$$8.00000	$$-2.42000	
$$0.12740	$$188.00000	$$158.00000	$$8.00000	$$0.00000	
$$0.12804	$$188.00000	$$157.00000	$$8.00000	$$-2.01000	
$$0.12644	$$188.00000	$$157.00000	$$8.00000	$$-1.94000	
$$0.12554	$$188.00000	$$158.00000	$$8.00000	$$0.00000	
$$0.12791	$$188.00000	$$158.00000	$$8.00000	$$0.00000	
$$0.12753	$$188.00000	$$158.00000	$$8.00000	$$-1.93000	
$$0.12387	$$188.00000	$$158.00000	$$8.00000	$$0.00000	
$$0.12246	$$188.00000	$$158.00000	$$8.00000	$$-1.51000	
$$0.12239	$$188.00000	$$158.00000	$$8.00000	$$0.00000	
$$0.11841	$$188.00000	$$158.00000	$$8.00000	$$0.00000	
$$0.11578	$$188.00000	$$158.00000	$$8.00000	$$-3.43000	
$$0.11186	$$188.00000	$$158.00000	$$8.00000	$$-4.40000	
$$0.10878	$$188.00000	$$158.00000	$$8.00000	$$-5.91000	
$$0.12631	$$187.00000	$$157.00000	$$8.00000	$$-7.01000	
$$0.12695	$$187.00000	$$157.00000	$$8.00000	$$-6.87000	
